,Zone,Flight,Station_ME,ERA5_ME,Station_MAE,ERA5_MAE
181,Des,Zeelim_30.1.20_1523_4,2.099323187411319,-6.080143934363657,2.7397209348586045,6.080143934363657
182,Med,Alona_28.1.20_0930_1,1.8568478103964592,-2.1683714626541235,2.522038755383259,2.5223276052564154
183,Des,Zeelim_23.9.19_1610_5,0.011446468091467684,-7.671108684764216,2.2148368840985464,7.671585171040664
184,Med,Alona_5.6.19_1600_3,0.21640636583954057,-1.8683984436595438,2.097873139206775,2.97672639809968
185,Des,Zeelim_23.9.19_0610_5,0.2376064849013371,-7.7207452129206136,1.548681354408663,7.7207452129206136
186,Med,Alona_5.6.19_1030_3,-4.806643746515535,-13.367186447572122,6.14145665637865,13.37043671473924
187,Des,Zeelim_29.5.19_1650_2,-0.38972230841770966,-6.185596602184712,1.44321337833653,6.193790323336358
188,Med,Alona_28.1.20_0830_4,2.3087303793988707,-3.3040402069022465,2.714940152170033,3.3429199900107296
189,Des,Zeelim_31.05.21_0924_4,4.2629712115112675,-8.62723318528957,4.279472574930565,8.62723318528957
190,Des,Zeelim_31.05.21_0924_5,5.95741811729091,-7.218545834167301,5.9582016233983035,7.218546706851787
191,Med,Alona_28.1.20_0830_5,2.915103714521613,-2.3865844170118455,3.0850548224721677,2.4145461418154452
192,Des,Zeelim_29.5.19_1650_3,-2.837852930922157,-8.369595594674017,2.932736135951765,8.369927615030834
193,Med,Alona_5.6.19_1030_2,-0.8275462725826487,-10.81033976258584,4.937275183389627,10.817489751509262
194,Des,Zeelim_23.9.19_0610_4,0.9615099872559324,-7.42286736935525,1.8136063807478875,7.42286736935525
195,Med,Alona_5.6.19_1600_2,0.7314428883226455,-1.7837999011208705,2.141345206802731,2.792426815704544
